,Text
63,"First of the ""The Guys SURVIVAL Guide to Malls"" series is the almighty Toronto Eaton Centre -In. To. You.-Brief Intro:4 levels(Concourse, 1, 2, 3) of retail shops and services conveniently situated between Dundas and Queen subway station along Yonge street.  Top level(4) accomodates paid parking and and as this is a TOURIST attraction, it is open pretty much all year round including Statutory Holidays.Guest Services centrally located but I've noticed recently there are small standing booths through-out were the Guest Service staff cannot seat but stand and walk around looking for lost faces to ASSIST.  It's a big mall therefore closer to the Food spots you'll notice fully loaded garbage cans.  Great open skylight roof for natural light source.Seating Comfort Level:(***--)I give Eaton's an A-OK as it is comfortably cushioned however monochrome uninspiring seating that look the same everywhere.  Most do not have backs to the seats so it's simply provided as an afterthought.  Guys sitting for 15+ minutes while waiting for their significant other will begin to suffer.Safety Zone:(***--)Level 2 is the Safety Zone of choice because it's the Men's level for SEARS as well as it is better than Classy Bling Level 3(Coach, Michael Kors, Ecco, Sephora, Birks, La Swiss, Banana Republic, bebe,etc...) and Youth with Credit Cards Level 1(Hollister, MAC, La Senza, AE, etc...)  Level 2 is not perfect by any means but Swarovski($100+) is 10x better than Birks($1,000+) however beware of the soon to be open Victoria's Secret where you'll have to SHARE seats with guys waiting at the A&F.Exit Strategy:(****-)Centre Court Fountain otherwise known in the Al Bundy world as Fountain of Dispair where the women leave their guys with empty wallets to sit in dispair.  If you are within the vicinity of this Fountain then you are at the spot.  Level 2 is PRIME real estate as it allows you to exit from all directions as well as go up and down levels.  It is also street level for that perfect escape.Entertainment Level:(*----)While waiting for others and watching other patrons zoom past you in the walkway there are very little that can help you keep your mind away from the fact that you're waiting there looking PATHETIC.  Prepare your own entertainment or sneak over to one of the following: Apple, Indigo Books, EB Games, HMV, Sony Style, Black's, Great American Back Rub."
64,"Big, modern, tons of stores - including an apple store, and the amazing urban eatery. No movie theatre and directory is sometimes confusing."
65,??????????????????1-3?????????????????????the bay??????????????????????????????????????????????????????nordstorm??????????????????????????????????????~
66,"This place has everything!!! I was Super excited to come here! I loved all the stores and the food court is awesome! They had alot of cool shops inside they have a disney store a store for teas, a hot topic, a luggage store, shoe stores, huge department stores and a hot topic! We didn't get through all the stores we were only there for a few hours but we had fun downtown and at the mall"
67,"The Eaton Centre is a big attraction in Toronto, and I can understand why. Usually one of the first malls to get new stores (Sephora, Bath and Body Works, Hollister, etc), convenient location with 2 Subway stops, great place to bring tourists, etc. If you are going to actually shop with something in mind, it is hellish. This mall has its fair share of slow-walkers and even those who decide to have a conversation, stopping and standing at the top/bottom of escalators. It is a true ""hang-out"" for teenagers, and while I am trying to not sound like an old curmudgeon, they usually irritate me.There are 2 very useless food courts. I say useless, because there is rarely any seating, the selection of fast food isn't that great, and they are both at basement-level. Not well lit, noisy, and really - what is up with the 2 food courts? I can see how it would be a good idea, but sometimes I want to get something from food court #1, while my shopping partner was hoping to get something from food court #2. They should've just made a big, central one. My other gripe with the Eaton Centre is the double-stores. There are some stores with 2 Eaton Centre locations. Really, the mall is not THAT large, I don't see the point. I hate when I am, say, shoe shopping and I'm in Aldo thinking ""I swear I've already seen all these shoes..."" and then I remember I have, at the other Aldo, at the other end of the mall. I guess this is me just being really picky, now. Anyways - I will continue to go here from time to time, because there are some newer stores and my friends/family will always drag me out here. Though I wouldn't suggest doing any actual Christmas shopping here, it is a great mall to visit around that time of year. The tree is beautiful and their Santa set-up can't be beat!"
68,i feel like this mall has any store you could ever want been here a few times in my life and everyone always loves coming here but just as any shopping center anywhere you don't want to spend a whole day here
69,"Toronto Eaton Centre is more like a tourist attraction than where local people will shop...(unless everything else are closed during statuary holidays) Of course unless you live downtown.. doesn't really worth a drive down and pay for parking and everything. Eaton Centre just another faceless, unforgettable Mall just like all those up at the Suburbs. Eaton Centre though has a lot of foot traffic from the Dundas subway station and people walking through The PATH. If you want to spend a leisure afternoon window shopping. this is not the place. Feels like people are all racing off to somewhere and will definitely run you over it they need to. If you lucky enough to have out of towner visiting, I guess you have to bring them to Eaton Centre for a photo or 2.."
70,"I came here to get some shopping done and I was quite impressed. This mall is huge and has every store you can think of. I was so happy with the variety of stores and the amount of parking. However the parking is quite pricy! We paid $24 for like 6 hours. Better to take train to be honest! However, the staff in all the stores we visited we so sweet and made our experience memorable. I highly recommend this mall! It is huge and has everything you need."
71,"Simply... its a mall. I'm sorry if I'm not too thrilled but when I go to another place I want to go to stores that we don't have here in the states. I'm not trying to visit Gap, Old Navy, Banana Republic, J crew, Disney, Teavanna etc. We have all those here at Somerset Collection. Sorry I just needed to vent. Ok back on track now.... I was happy to go to Le Chateau, Zara and RW & Co but they really don't have many kid stores and that's what they lack, the only kids store was Disney - If you're a tourist and you must go, go, but I've been once and don't see the need to make it a reoccurring visit. (OK I'm done) Oh by the way the food court (urban eatery) was nice!"
72,"Well, who doesn't like Eaton Centre? I sure do!We did Toronto for Thanksgiving 2017 and we had the obligatory visit to Eaton Centre for some shopping --specifically at Roots, and with the convenient exchange rate, this was a must for our visit.We had a quick bite for breakfast (food court is not life-changing, I should say) and then went on shopping. Roots was our first stop and they were having this massive sale. Got some things there. Then TNA, some sports store, and a couple of other things here and there.Place is clean, modern, well-lit, seasonally decorated, wide open spaces.Will I come back if I ever make it back to Toronto? Sure."
73,"Let me sum it up in one word - bleck.I would rather shop anywhere else with the exception of the Scarborough Town Centre which is the most detestable.Teeming with mannerless people, this place is loud, inhospitable, and always hotter than hell.If I really needed to go to the mall to buy something, maybe it's time to reconsider that item.  There are SO many wonderful places to shop elsewhere in this city that I can safely avoid suffering there.  Leave it to the twin ts - teens and tourists."
74,"I honestly can't stand this mall. I would recommend you avoid it whenever possible unless your idea of a good time is dealing with tourists so slow you'll feel like your standing still and teenagers that block your way. The stores here are actually really great, there's a huge variety of places for every person and budget but if possible I would recommend going to yorkdale which has pretty much the same places as the eaton centre if possible. There's nothing wrong with the actual mall itself but the people who go here can really get on your nerves I can't tell you how many times I've had someone stop in front of me just to look around. If the slow walkers doesn't bother you though then you'll definitely enjoy coming here much more then I do.Overall the mall is great there's a wide selection of stores and I'd give it 4 stars if it weren't for the people which sadly ruin this place for me but definitely check it out and hopefully you'll have a better shopping experience here then I did."
75,"This is a huge mall which houses a lot of shops but all of them are chains. The mall itself spans an entire city block and even has a church connected to it! There are a number of shops on several levels including a Kernels, Gap, Sears, Aldo, a florist, and tons more. The mall can be accessed through two subway stops  Dundas and Queen. If you exit at Dundas then there is the possibility of also going to the mall next door so be careful to exit to the Eatons centre."
76,Turn down the heat!  Why is every mall in Canada so hot inside.  It's boiling in here and freezing outside.  I have to take off my gear and lug it around when I'm trying to spend money. Turn down the heat!!
77,"It's a little disappointing that being one of the biggest malls located in the heart of Toronto lacks a variety of stores in comparison to those that are just a bit outside of the downtown core. I find that Yorkdale Mall for example in comparison to the Toronto Eaton Centre offers so much more variety of stores that ranges from average pricing to luxurious brands such as Gucci, Prada, etc. within one mall. I feel that The Toronto Eaton Centre definitely needs to add new stores, perhaps expand in some way to drive more volume into consumers actually purchasing goods. Although the shopping isn't fantastic there, the somewhat recent renovation of their food court is amazing! Offering different types of fast food and even healthy alternatives!"
78,very busy shopping area with loads of variety
79,"Plenty of stores have come and gone (including Eaton's itself), but this mall remains a mainstay for shoppers, especially downtown. The location is probably one of its biggest assets, located right by Yonge-Dundas Square and accessible from two TTC stations. The Urban Eatery, the mall's food court, is definitely one of the highlights - upmarket food offerings served with real dishes and silverware. Richtree still remains too. Recent renovations have also done a decent job at modernizing the mall, and the glass roof lets in plenty of sunlight. Unfortunately, some of the lower levels feel a bit more cramped, with lower ceilings. The mall also gets pretty stuffy especially when it's crowded. Huge variety of stores, as the mall essentially takes up a whole city block. Sears and Hudson's Bay right across the street serve as anchors, while other favorites like Apple, Lacoste, H&M, A&F, Hollister, Victoria's Secret, Coach, Indigo, etc. round out the rest. However, there is a conspicuous lack of higher-end shopping at Eaton's; if you're looking for designer stores, then head north for Yorkville/Bloor St. No free Wi-fi unfortunately, but parking rates are reasonable if you can find a spot. If you live nearby or work downtown then the Eaton Center can be convenient, but to be honest I'd prefer shopping at Yorkdale for a less hectic experience."
80,"Lots of stores, even more people. . .expensive and stressful.  Maybe I'm just not a mall person."
81,Such a huge mall! You'll most likely find something here if you forgot to pack something or if you just want to go (window) shopping. This place was packed with so much people in the late afternoon. Not sure if this is how it normally is or if half of the people there are tourists. It was nice to visit and see what kind of stores Toronto had to offer. We enjoyed the Roots store but it was a bit on the pricey side. This mall is central to a lot of places and was easily walkable from our hotel.
82,So this place is HUGE!!!! Has probably ever store known to man in this place!!!! from Zara to some To brands!!! Great place to spend an afternoon in TO!!! Modernly designed..spacious...but packed full of people!!! If you go on a Saturday its like a mob scene...but if you're in TO you have to head over here!
83,I enjoy this Mall even though it's so crowded ! It has a warm welcoming atmosphere and a great selection of stores. I find the staff friendly even the security guard who I bothered to help direct me to a Starbucks haha It's also very clean and has seating areas. Also plenty of garbage and recycling which is good. I also saw the Christmas tree and reindeer decor. So beautiful!
84,"Don't like this place even though it's the only mall downtown.  Lots of shops and the only Massimo Dutti around.Is it worth the trade off?  A lot of people here are shady and just like to loiter.  Apparently it's a hot spot for pickpockets and thieves.Beware of a small group of girls who approach you.  One will engage, then the other will distract.  When you get distracted, the one who engaged will steal whatever it is they want from you.Spotted 10/6/13 in the food court trying to steal a purse from the daughter of an old man in the food court. Two girls, of European ethnic-descent."
85,"Unfortunately, I've been dragged through various malls.  Some have suprised me and others are lackluster.  Toronto Eaton Centre is the latter.  The only stores that I have any use for are the Apple Store, Aveda, and Crabtree & Evelyn.   Most of the time, the mall is bombarded with people that pass through the mall.  People walk from Queen Street to get to Dundas Street and vice-versa.  The layout is outdated and there is nothing remotely interesting about the stores in this mall.  I hope that they build a Westfield Mall here soon!"
86,"I'm weird. When I go to other cities I love going to their malls. It's just something I do. I like to see what's the same, what's different, and what the stores that are the same are selling that's different.The Eaton Centre is amazing. A shopper's delight. Also, a time killer's delight too. It's enormous here! The Centre has three full stories of shops and eateries. Literally a shop for every type of person.Their cafeteria or food court had a lot of options. Everything was very clean. I like that they weren't standard fold court chain restaurants. I did notice how busy it was but then remembered that this mall is right in the middle of the business area.The restrooms are clean which is a big plus. Free wifi which was amazing for someone who was relying on wifi heavily during my trip.The location is perfect. It's a great spot to meet people, again, especially if you're out of town. I met most of my friends here as it was the easiest place for me to navigate to before heading on to our adventures.You can also access the PATH from the Eaton Centre so you don't ever have to go outside! What more do you need?"
87,Toronto Eaton centre is an amazing mall. It has something for everyone from mid to high end pricing. Christmas isn't quite the same without a visit to this mall with all the beautiful decorations on every floor. Across the street on Queen Street the Bat windows are decorated with all their moving characters. People line up to take pictures. It is truly a family day out. Shopping is amazing and those eggnog lattes just warm your heart.
88,"I'm convinced that the Eaton Centre is the modern incarnation of Dante's ""Inferno"". As in, it is hell. Pure hell.Believe you me, I love a good shopping mall as much as the next gal, but I avoid the Eaton Centre like the plague. Oh Eaton Centre, how do I hate thee? Let me count the ways:1) Teeming with truant teenagers and tired tourists, travelling through the mall itself is a true testament to tenacity. The layout of the centre is confusing, and combined with the constant crowds, navigation can be complicated and challenging (cue applause). 2) It is said that ""variety is the spice of life."" Consider that the Eaton Centre has 3 Aldos, 2 Bell Worlds, 2 Feet Firsts, 2 Nutrition Houses, and 2 Sunglass Huts, to name a few. Is this really necessary? Is it a secret ploy by the city of Toronto to encourage everyone to be getting proper nutrition while rocking fabulous footwear, sporting sunglasses and chatting on a cell phone? 3) The one redeeming quality of the Eaton Centre - the prime, central location - is also, in several ways, its downfall. Parking is expensive. Hordes of people travelling to and from Dundas and Queen stations and the PATH converge here. Trying to hunt for deals isn't easy when battling major pedestrian traffic.  4) The washrooms - if you can find one, that is - are always in high demand. High demand washrooms equate to dutty, dutty washrooms.For decent mall shopping, Yorkdale is just a hop and a skip away by subway, and is far less congested with pretty much the same (if not better) selection of stores."
89,"The shittiest mall/service I've ever encountered in my life.The bathrooms were nasty -- I found myself longing for the latrines on Indian trains. I'm not even joking. Don't actually expect service inside the stores. I did not get greeted in any store that I perused. I actually tried to make eye contact with personnel and they just stared back, blankly. This was in 99.9% of the stores I visited. I only got greeted in one - French Connection. I don't even shop there, but just went because my husband wanted to. There's also really nothing special about this mall. It's just a mall. It's not like NYC where they may actually stock different items. It's just regular. I'm confused as to why they regard this as a tourist destination. Save your time and money and just shop at home, wherever that is."
90,"a pretty mall with high vaulted glass ceilings. Fun to look at, but the size of the place is daunting if you're just there to waste some time. I don't understand why there are more than one of the same store here, it gives me the feeling of ground hog day. wasn't i just here?i like shopping but i wasn't into this place. i checked out the H&M next door and was happier there. right across the street from Younge-Dundas Square so convenient to touristy stuff."
91,"Das Eaton Centre ist ein mehrstÃ¶ckiges Einkaufszentrum in der City von Toronto. Das Eaton Centre beherbergt auf 3 Etagen Ã¼ber 300 GeschÃ¤fte, Boutiquen und Restaurants.In der Mitte wird das Eaton Centre mit einer Glaskuppel nach MailÃ¤nder Vorbild Ã¼berdacht. Unter der Glaskupel hÃ¤ngen die Skulpturen des KÃ¼nstlers Michel Snow. Das Flight Stop genannte Kunstwerk stellt Kanadische WildgÃ¤nse im Flug dar. Am zentralen Punkt im Eaton Centre befindet sich ein in Stein gefasster Springbrunnen, welche von Zeit zu Zeit eine ca. 20m hohe WasserfontÃ¤ne in die HÃ¶he schiessen lÃ¤sst. Bio, Chinesisch, Design, Dessous, ErlebniskÃ¼che, Fastfood, Gourmet, Griechisch, GutbÃ¼rgerlich, Indisch, Italienisch, Kaufhaus, Mode, Orientalisch, Schmuck, Schuhe, Schweizer, Shoppingcenter, Shoppingmeile, Souvenirs, Sport, Sushi, Taschen, TÃ¼rkisch, Uhren, VegetarischMan kann sich allso sehr lange dort aufhalten. Das Eaton Centre ist bequem mit der U-Bahn zu erreichen."
92,It is a beautiful mall with lots of stores in it. Especially Indigo is the main attraction for me.
93,"Whenever I'm in Toronto, my family brings me here. It's a mall. They've got LUSH, Best Buy, Disney Store, Lacoste, Old Navy, Swarovski, Teavana, Coach, etc. They have about nine restaurants in here. Their food court has a nice selection of options. The mall is well kept. Each store has a nice window display. Everything's neat and organized. Employees are helpful and friendly. I wouldn't say this is my favorite place to visit when I'm in Toronto. It's a bit too touristy for me. It's a nice place to visit though, at least once."
94,"I was in Toronto for a work trip and this was my spot! I think I walked over here every night just to enjoy the views and the Christmas ambiance. This small is so pretty and decorated very nicely during he holiday.When you first get there you notice one thing while your standing outside. It looks familiar. Then you realize OH it looks just like NY, but a smaller version. The mall has three stories. They have Nordstrom for all you boujee folks out there LOL They did have sales but shoots, I'm like clearance on top of another clearance is what they need for me to buy anything  They had some local spots if you were looking for Canadian made clothing. I can't recall the name of the brand but they had quality warm stuff OH and Lululemon for my workout sisters! They had a huge sale rack too so I was all over that. They had tons of other stores to choose from. OH there was a bookstore! I was so happy to see a bookstore. You don't see those in Vegas anymore. It's rare."
95,Big and massive in downtown.  Can't really complain with the location and types of stores offered.  Gets a little crowded but expected with such a good location.The mall also gives you a chance to cut through indoors while going from Queen to Dundas.
96,"Now Eaton is a place I love to visit, great for tourists and 6ixers alike. It's also fairly priced (store wise) and if you can't find something to eat inside, you can just walk out to the square and find a place out on the street (not that Eaton doesn't have a wide variety of restaurants in their food court). The stores are great clothing wise. They even have a floor dedicated to expensive wear. It's a must go, must visit and must experience."
97,"Christmas is always fun at the Eaton Centre with amazing holiday displays, this year being the huge red Christmas tree and the animals. This place has a good amount of escalators for your tired feet, as you easily walk for miles in here. Make sure you wear sneakers for your day of shopping. The selection of stores is outstanding such as Coach, Roots, Apple, etc.  and I love how it's easy to go back to stores on another level. High end stores are at the top. The food courts still aren't the greatest to me and super noisy. That's the only downside."
98,"While I was only there for a few hours on a trip to Toronto, I was pretty impressed with the selection of stores they had. With it being in downtown, it was busy on a Sunday afternoon. Make that SUPERRR busy, to the point where I felt a little overwhelmed. I've never seen a mall so packed! For a second, I thought it was Christmas around the corner.But aside from the busy factor, the mall was clean, huge, and above average compare to other malls around. Can't remember if there were any upscale stores but they do have your average H&M, Forever 21, etc. And who can complain to that, nice clothes that doesn't cause a hole in your pocket?"
99,"Busy mall...i mean VERY BUSY MALL.Usually out of my size in everything.Guarantee to say excuse me, at least five times...or just push through.Many stores (+star).Personally, I hardly choose to come here. Walk along Queen Street West instead!Or go to another mall that isn't as crazy as this one...which is hard to find in the GTA area."
100,Sehr sehr sehr grÃ¶ÃŸtes Kaufhaus als in Deutschland.. Mit vielen Weihnachtsschmuck schÃ¶Ã¶n
101,"It was a good experience driving from NY to Toronto. This place is like Time Square of NYC, so it is great place for tourist. However, some of the streets/road were busy around those area due to construction work. Eaton's Centre, great place to get your photo taken, the mall is HUGE, but i did heard about complains about their services. It's close by chinatown (small), decent parking spots (some parking service will rip you off if you're not from Canada, they look at your license plate first... mine was from CA).There were so much things to do in one day, so I didn't stay here all day. I will come back someday to check this place out again."
102,"Lots of shops. Place is huge.But not sitting anywhere outside shops.Only ONE elevator working in the mall of thousands for people with strollers and infants like us. RIDICULOUS !! Three elevators, one for going up and down to floors 1-3, the other two for going up/down to parking levels. The line up was huge with other families with strollers. We waited 20+ minutes and could never get on, so we took the stairs.NOT A FAMILY FRIENDLY MALLI grew up in Toronto, and love the Eaton Centre for what it is and provides downtown. But, this was not an enjoyable experience. If the Loblaws located in the old Mapleleaf Gardens can do things right so can the Eaton Centre.2 stars until next time"
103,"Wow, this place is huge.  You can shop until you drop or just walk around and people watch.  It is difficult to navigate, and so it's not the best place to go if you're in a time crunch.  However, it pretty much has everything you might need from low-end to high-end."
104,"PREAMBLE: The Eaton Centre is a good, standard mall - airy, spacious, with your usual mall shops.  The food courts are very average.  However, I've taken many clients shopping here.  The biggest blemish on an otherwise good mall is the Ladies bathroom just inside the Queen Street entrance, behind Bebe.BATHROOM RANT: THIS BATHROOM IS A FREAKING NIGHTMARE, PISS ME OFF!  Scuze the pun.  This bathroom has the WORST FENG SHUI OF ANY BATHROOM IN THE WESTERN HEMISPHERE.  Why, oh WHY, when architects design women's washrooms, do they NOT CONSULT WOMEN???  Because it's obvious they don't.When you approach, there is ALWAYS a line-up out the door.  Why don't they double the stalls in women's washrooms?  When you are waiting, you have to lean on the heavy door to prop it open.  While you wait, your eardrums are blown out because they installed these handryers that will seriously knock you to the back wall if you don't take a strong stance.  Gotta love the no-paper-towels-let's-save-the-environment thang, but do I have to lose my hearing in my left ear?  The stalls may be average size, but there's one thing the moronic bathroom designers neglected to consider: WE ARE SHOPPING.  WE HAVE BAGS OF STUFF.  So of course, you have to wedge yourself in and you must suck in to shut the friggin' door.  Typically, there is nowhere to hang up your stuff.  Sigh.On your way out, you MUST bump into people.  There is no other way.  My favourite part is washing your hands.  THERE IS NO COUNTER SPACE TO PUT YOUR PURSE AND BAGS.  Sigh.  So you have to dump your bags on the floor, awkwardly wedge your purse between your legs, and awkwardly wash your hands.  It's starting to look like a Mr. Bean skit, people.Then you have to turn on those god-awful hand dryers which will blow you to the back wall (you will have the wind-tunnel face lift after) whilst taking out the left ear drum of a person in line.  Then you have to bump into people on your way out.  What should take a few minutes becomes an epic tale of Tolstoy proportions.WHY didn't the bathroom designer think of airport bathrooms??  They have wide open spaces, no door, and they're roomy for passengers schlepping luggage.  And to think, this bathroom was renovated - !!!!  AAArrgh.Whoever designed this bathroom should be shot.Thank you; I feel sooOOoo much better.  (Liz exhales)"
105,"The only free Wifi spots I've had luck with (not including coffee shops) is the Apple Store and Druxy's (downstairs, South end).  You can sit in the food court from as far as the escalators.This mall is pretty much the flagship of all the stores in Toronto.  Even the Victoria's Secret angels opened the new shop.Hectic like a madman on weekends but great vibe for locals and tourists.  Even current renovations have been carefully crafted to make still look aesthetically pleasing."
106,"Food: 4/5Service: n/a (vary b/t stores)Cleanliness: 5/5Decor & Setup: 5/5LOVE THIS MALL.  its probably one of my favorite malls in N. America. Of course it has pretty much every store you can think of.It also connects to PATH (Toronto's underground shopping and business area).  Not very many underground places in the States.Many restaurants are connected in PATH also.I love how the train connects right to the mall so I don't have to drive or park anywhere. Can get  a lil too crowded sometimes.IMO, it out ranks Houston Galleria, Dallas galleria, and Glendale Galleria.  Well, i guess I havent been to many big malls in N. America lol.  Maybe thats why I like the Eaton Centre so much.Overall the mall is very clean and a nice scenery part of downtown."
107,"Pros: Simple mall layout, easy to find everything you need; 3 Starbucks so that is awesome for you starbucks lovers. The chapters is beautiful, some nice stores in the mall and pretty good sales from time to time. Right downtown so you can be apart of all the action. Lots of food to choose from in food court. Lots of restaurants near the eaton center too. Close to several subway stops.Cons: Dirty washrooms (The sinks have built up scum on the back splash), Apple store has the worst cx service... tried buying a brand new Mac pro with cash and it took 45 minutes on a Wednesday. Food court is too noisy and busyOverall, lots of amazing memories at The Eaton Centre. Also to anyone who reads this, you should look up the T. Eaton Co. Limited. The malls name carries with it some very interesting HISTORY  ! :)"
108,I love the Eatons Centre because it keeps expanding. Brand new stores like Michael Kors and Victoria's Secret- coming soon!! Great mall to shop for shoes! Big food court. And it's attached to The Hudson's Bay Company which is 8 floors high! Amazing store..
109,"The Toronto Eaton Centre is a huge, huge mall - I have been shopping several times at the Eaton Centre.   There are two food courts in the mall so plenty to choose from.   Also there is an Apple Store and a Microsoft store - so you have both covered.   Also a best buy and Canadian Tire for everyday electronics and stuff.  It is very difficult to find stores in the mall - so if you need something check online before going to the mall as it is confusing to find stores."
110,The Eaton Centre has a great selection of stores with good variety - you have some upper-end stores as well as more affordable ones. The food court also has lots of different options for anything you might be in the mood for. And I love the big Indigo store here!!
111,"Location location location. Very convenient to say the least about this mall. Organized floor levels by how expensive the shops are lowest to highest . Always very busy and packed. New food court is delicious and very cheap price wize and has a lot of good items , my fave is the szewhan for sure. And even a aroma which is one of the better coffee chains for sure. The con of this mall is that it has a lot of traffic ALWAYS being such a tourist magnet it's pretty hectic. I do like how it's connected w two of the major subways (dundas and queen along w their streetcara so if needing a warm sheltered way to walk to either this is usually the better option."
112,This is just a huge mall. Nothing special at all. Typical name brands. Clean and spacious. Maybe somewhere to go when it's raining out and you don't want to be at home. There's not many kids related stores. Mostly targeted to men and women clothing.
113,"This was a cool and fun downtown mall, conveniently located in the city center.  There were some great clothing options and it's anchored by The Bay department store.  The food options seemed to fall a bit short of what I would expect for a mall like this, but everything else was very good."
114,One of toronto's busiest malls. It has a lot of different stores from Nike to apple. There is underground parking but it's expensive. It's easily accessible as it's on the subway line. Bad idea to come here during the holidays as it becomes really packed. Besides shopping there is a renovated food court with anything you can want. There are also some great restaurants like joeys.
115,"This mall was across the street from our hotel damn smack in the middle of Downtown Toronto. its huuuuge. i mean some parts are underground, and the mall is connected to the subway station. but about a whole city block of MALL. Th food court is the Bizzz, feels like a modern Japanese restaurant on a baseball field scale. Eat NY Fries... trust me!I came here on a mini vacay and was not bored. Enjoy... make sure you have comfy walking shoes on, and SHOP AWAY!!!!"
116,"One of my favorite places to be in the GTA!  EC has tons of shops spread out over three floors for all tastes and styles.  A well represented food court for that quick bite to eat.  Convenient location to other major attractions in TO.  I would agree with others suggestions when taking the subway and use Queens, but hell I have made the walk from the Hockey Hall of Fame on a nice day!  Overall this center is clean and full of excitement!  If your in the GTA make it a point to stop by."
117,"Celebrate for Christmas!!!  I went to Eaton Centre yesterday and was so excited with the decoration there! Wowo so cuteeeee. Outside and inside Eaton they decorate all. I dont know they will do more something or not. People walk around here a lot and almost they stop here and take some pics, ofcourse me too :))). I like the polar bear the most, so cute and didnt know that they can dance haha. I feel warmer when I see them, less lonely a little bit. Everyone hurry up to prepare and waiting for special moments of the end of year, and also for new year. This is my second winter here in Canada, kind of sad and sometime want to give up here but Canadian give me more motivation to know that, here is cold just outside, but warm inside. Who is international student like me here, I hope u can see this review, and will feel better in this cold winter, cheeres!!!"
118,"I think this mall serves its purpose in terms of luring tourists in and forcing them to shop till they drop. However, as a Toronto (well, GTA) native, I don't ""love"" this mall.I do, however, like the mall for its variety of stores (Abercrombie and Fitch, Hollister, Armani Exchange, to name a few), as well as having one of the best food courts I've ever seen in a mall (Urban Eatery). Outside all that pizzazz, however, it's just another mall that only happens to get the amount of tourists just because it's in downtown. Other malls (or independent stores) closer to where I live serve the same purpose, so the only way I would visit the Eaton Centre is if I do a downtown trip (which, unfortunately, hasn't been as often as a couple of years back). Oh, and it closes too early for a tourist mall.The subway connection signs are noted clearly as well, so tourists won't get lost."
119,"The Eaton Centre is a circus!Lots of stores, but sometimes the crowds here are just too much for me.Aside from that - why does the Eaton Centre close early on Saturdays? Many smaller malls in the GTA are open until 9pm on Saturdays.  The Eaton Centre closes at 7pm.  It doesn't make sense to me.  If they stayed open until 9, they'd be packed for those 2 hours.. and it would be more convenient.I like that there are other stores nearby, on Yonge Street, if the Eaton Centre itself doesn't have what you need."
120,"This place is overwhelming, to say the least, and home to your standard mall fare (generic name brands, mid-range labels and more affordable consorts). Conveniently located at the centre of downtown Toronto, it's a good place to congregate, meet with friends and sate any desire for retail therapy. If it's relaxation you're desperately in need for, this isn't the place to go. Crowded, cacophonic and big, Eaton Centre is disorienting even at the best of times."
121,"Das Eaton Centre ist ein riesiges Einkaufszentrum, wo man sich theoretisch ca eine Woche aufhalten kann, bis man alles gesehen hat. Man kann so ziemlich alles bekommen, vor allem Klamotten, unten im Keller ist ein food court, hier kann man international essen: italienisch, griechisch, asiatisch was das Herz begehrt"
122,Love mostly all Zara stores including this one. They are always nice no matter how busy the store is and matter how many items you're returning. This includes their managers/signers. They are always very patient and friendly!
123,"This mall is huuuge! Finding what you are looking for here is quite challenging even if you use Google maps (yes, you can use Google maps inside this mall. Great selection of shops that should keep you busy.If you are hungry then head to their amazing food court. I recommend urban herbivore.Overall a great mall, clean, free WiFi. Good for shopping, eating, and for Ryerson students to meet up!"
124,"Sure, it's a massive shopping centre, filled with tourists and teenagers and the same old stores you'll find in any other mall, but it's THE downtown mall, meaning one cannot help but be sucked into it from time to time (if not just to avoid walking outside in a snow storm whilst trying to get from Dundas to Queen). What I like about it right now is the CRAZY big Christmas tree covered in 10,000 Svarovski crystals! It's up until December 31st, right in the middle of the mall, but really? You can't miss it. It's so sparkly and pretty, plus it turns at a very slow pace, hypnotizing you with its glittery-giganticism......................must.......buy.........crystals? Yes.............crystals.................."
125,Fancy place to be in the heart of the city. I've seen so many changes within this place since it opened (I've been in the GTA for 43 years now) and I think the only thing which has remained since day one is the very popular water fountain.
126,The Eaton Centre serves as the premiere mall in downtown Toronto. One must appreciate the open expanse of the mall and the clean upscale feel! It has your typical mall shops (over two hundred of them) plus a solid food court. The traffic volume through here is probably the most for a mall in Canada. One thing quite humorous that I noticed in December was a big panel of TV screens with a fire scene sizzling in the background! I once saw this in a hotel room in Edmonton and I laughed but at the Eatons centre? Lol!This mall defines the mall experience it is a crowning jewel in the Cadillac Fairview portfolio.  A great place to get out of the cold to warm up on winter or head for some gifts for yourself or someone else!
127,"worth a trip if you're in toronto. the architecture is beautiful. the stores are pretty much what you will find at any other mall in the GTA-- gap, old navy, h&m, starbucks, etc. eaton centre happens to be very convenient and a very nice place to hang out in the winter, but it does get very crowded and loud. it's so big there are two food courts, although most of the options are just duplicated (hey, i won't argue with having two kernel's in one mall)when i first moved here i was infatuated with eaton centre because it was so novel to have a shopping mall as a city centre. i've gotten sort of fed up with it though, since the prices haven't come down with the rise of the dollar and the stores are very very generic. i don't even bother going here anymore-- i'd rather hold off shopping until i'm on the other side of the border."
128,"Its a great mall.  It has everything but a theatre.  Some of my favourite stores:  BCBG, Indigo, Zara, Victoria Secret, Apple, Coach, Forever 21 and more.Its convenient with a subway stop at Dundas Station and Queen Station.The hours are great and they are open everyday as they are considered a tourist site.  The Urban Eatery is very nice and the food actually tastes good there."
